ID,Category,Subcategory,Stratum,Frequency,Word,Auditory,Visual,Haptic,Gustatory,Olfactory,Interoceptive,Dominant_modalities,Dominant_modality,Maximum_perceptual_strength,Iconicity,Modality_exclusivity
135,Adjective,NA,Native,1388,munashii,1.7,2.3,0.8,0.3,0.4,4.8,Interoceptive,Interoceptive,4.8,2.125,43.68932039
346,Noun,NA,Native,13350,kane,1.833333333,3.916666667,2.833333333,0.416666667,1.5,2.083333333,Visual,Visual,3.916666667,2.125,27.81456954
347,Verb,NA,Native,20142,yomu,1.7,4.7,1,0.1,0.3,1.8,Visual,Visual,4.7,2.125,47.91666667
269,Ideophone,Reduplicated,Ideophonic,293,chirachira,1.636363636,4.090909091,1.272727273,0.363636364,0.636363636,2,Visual,Visual,4.090909091,3.230769231,37.27272727
134,Noun,NA,Native,6745,nakama,1.7,3,1.5,0.1,0.7,3.5,Interoceptive,Interoceptive,3.5,2.142857143,32.38095238
343,Verb,NA,Native,2024,kuzureru,3.307692308,4.076923077,2.461538462,0.615384615,0.769230769,2.615384615,Visual,Visual,4.076923077,2.142857143,25
72,Adjective,NA,Native,4156,tsumetai,1.8,3.1,4.8,3.4,1.6,4.4,Haptic,Haptic,4.8,2.153846154,16.7539267
133,Adjective,NA,Native,4258,sabishii,2.4,3.4,1,0.4,0.2,4.3,Interoceptive,Interoceptive,4.3,2.153846154,35.04273504
341,Adjective,NA,Native,693,kewashii,1.5,3.5,1.916666667,0.416666667,0.666666667,3.5,Visual,Visual,3.5,2.153846154,26.8115942
236,Ideophone,Q-suffixed,Ideophonic,864,chiraQ,0.6,4.4,0.5,0,0.1,1.4,Visual,Visual,4.4,NA,62.85714286
340,Adjective,NA,Native,2294,harukana,1,3.2,0.2,0.2,0.4,2.3,Visual,Visual,3.2,2.153846154,41.09589041
237,Ideophone,Ri-suffixed,Ideophonic,695,chirari,1.1,4,0.8,0.2,0.4,0.7,Visual,Visual,4,NA,52.77777778
337,Adjective,NA,Native,5695,kurai,0.9,4.5,0.5,0.1,0.3,3.2,Visual,Visual,4.5,2.166666667,46.31578947
338,Adjective,NA,Native,14514,wakai,1.5,3.8,2.2,0.8,1.5,3.5,Visual,Visual,3.8,2.166666667,22.55639098
212,Function_word,NA,Native,"134,611",nani,2.6,2.6,1.8,1.3,1.9,2.2,"Auditory, Visual",NA,2.6,2.166666667,10.48387097
132,Adjective,NA,Native,1354,hetana,1.363636364,3,1.545454545,1.181818182,0.636363636,3.181818182,Interoceptive,Interoceptive,3.181818182,2.181818182,23.33333334
336,Verb,NA,Native,5726,kakageru,1.272727273,4.272727273,3.181818182,0.090909091,0.545454545,1.545454545,Visual,Visual,4.272727273,2.181818182,38.33333334
335,Verb,NA,Native,8492,tanoshimu,3.5,4.1,2.9,3,2.4,3.7,Visual,Visual,4.1,2.2,8.673469388
40,Noun,NA,Native,18181,kuchi,2.1,2.7,3,3.8,2.2,2.5,Gustatory,Gustatory,3.8,2.2,10.42944785
334,Verb,NA,Native,6457,suteru,2.1,4.2,3.1,1.3,1.4,2.3,Visual,Visual,4.2,2.2,20.13888889
333,Function_word,NA,Native,10277,dore,2.4,3.3,2.4,1.9,1.9,1.7,Visual,Visual,3.3,2.210526316,11.76470588
